Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
557.85,860905,4860.746581,924
575.15,1338154,7494.96769,1573
604.65,878025,5210.584936,1320
590.9,441898,2647.025061,1012
582.55,551499,3189.036093,749
582.5,629828,3679.994338,751
570.95,745735,4266.24203,987
577.45,578904,3351.81888,2201
599.9,1378607,8231.712653,4255
612.5,2583362,15836.79687,3307
629.65,4213178,26008.9705,3352
635,699623,4464.992784,1006
637.35,777049,4931.365403,1337
658.85,1101122,7236.424294,2602
666.65,765902,5129.561181,1660
659.75,578519,3823.904726,1174
651.2,324459,2132.420822,814
649.6,351471,2281.010544,852
646.95,222745,1446.694149,528
646.6,349171,2265.638157,492
659.5,505701,3336.244789,2858
650,698468,4620.688629,1955
658.65,459555,3000.552511,1139
660.3,614081,4049.420665,1398
684.2,1012879,6919.965402,2845
706.15,1214695,8436.744561,2606
709.7,486857,3449.520055,1151
732.1,542983,3956.797593,1699
739.55,644897,4742.403103,1536
755.75,934521,7045.756791,2436
768.7,982665,7551.85201,1714
764.6,975475,7449.390116,1299
751.5,643127,4846.166141,1129
757.6,1013348,7655.846284,1488
754.8,771698,5735.206644,1268
738.9,325965,2444.251254,877
715.65,364012,2590.351188,798
729.55,375349,2692.102043,864
762.2,666478,5035.789131,1333
759.75,507316,3864.941269,601
744.05,232221,1743.957119,646
820,1316528,10492.4515,3403
886.7,1528678,13200.52283,3682
872.15,1408050,11778.8937,1941
857.1,1122762,9819.838687,921
829.85,717417,5960.898151,679
819,683447,5541.310731,975
868.85,723976,6285.201135,1655
866.4,558274,4849.232266,1458
873.85,614841,5285.505502,2418
926.1,576833,5201.075349,2449
929.05,655318,6159.082623,913
908.35,705040,6518.909035,1414
917.35,261176,2388.780785,490
917.85,489757,4494.672582,1119
932.15,232995,2143.772849,1108
973,1124891,10989.62958,2279
946.4,541088,5276.154879,890
932.45,464193,4408.033736,804
921.05,435268,3974.95671,663
914.2,29478,271.386833,109
887.4,717311,6392.358353,905
945.5,529265,4926.560693,1476
990.65,607929,5972.155404,1464
963.5,281834,2751.385617,747
978.3,157730,1541.210116,517
980.95,536649,5265.453909,388
996.4,863971,8668.39616,1913
943.2,341243,3279.073451,807
918.9,424122,3896.837685,751
926.6,510599,4752.832274,1255
938.6,1967743,18279.49227,1124
932.1,439210,4123.150119,1468
905.7,390065,3594.511503,840
918.85,669531,6156.832461,1585
930.65,708034,6626.178119,1024
942.35,362046,3418.492471,740
944.3,520994,4936.562425,748
940.1,410243,3857.619466,760
923.2,501034,4668.525731,1014
938.55,295607,2763.79149,641
939.65,193147,1813.860123,517
941,451633,4265.911411,891
942.05,1026354,9656.66335,1371
972.2,922034,8916.474539,3254
994.65,1740002,17116.44179,3513
984.45,595392,5929.050944,1924
952,780477,7490.632831,1615
939,435856,4137.140828,1199
933.85,317888,2982.084137,1888
953.25,469184,4421.184529,1125
970.95,357797,3445.557172,1392
956.4,509643,4935.301853,2312
975.55,354947,3456.874146,1272
970.45,180153,1755.183701,733
972.55,144716,1411.274173,833
1034.65,737266,7547.350554,6186
1035.85,512466,5336.95289,2777
1054.9,714826,7497.615612,3899
1090.15,620886,6711.992969,4745
1065.75,644453,7031.064973,4057
1095.6,1036253,11340.59431,5399
1089.15,945450,10457.91649,3592
1169.75,1314561,14969.31707,7522
1268.15,1639922,20029.91133,8381
1196.55,1280499,15431.33666,4227
1156.7,893945,10447.28105,2318
1162.05,707204,8176.877592,2764
1116.15,619324,6951.475449,1935
1060.65,481688,5162.91393,1527
974.6,727925,7274.224102,1247
1015.7,914760,9305.062561,2217
1002.2,1367278,14328.6311,3967
1097.75,696260,7691.922861,1939
1141.45,379140,4104.956735,1719
1146.2,865706,9854.673511,2354
1105.45,524200,5786.402857,1043
1120.8,875349,9754.740529,2866
1085.15,1550308,16834.54572,2295
1088.95,671293,7376.065495,1341
1059.7,398194,4260.88815,1255
1084.65,497608,5277.509668,1546
1034.7,520689,5497.622218,1150
